DBN,SCHOOL NAME,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,Composite SAT Avg. Score,ell_num,ell_percent,sped_num,sped_percent,ctt_num,selfcontained_num,asian_num,asian_per,black_num,black_per,hispanic_num,hispanic_per,white_num,white_per,male_num,male_per,female_num,female_per,Latitude,Longitude
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29,355,404,363,1122,94,22.3,105,24.9,34,35,59,14,123,29.1,227,53.8,7,1.7,259,61.4,163,38.6,40.7134455,-73.9860332
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91,383,423,366,1172,83,21.1,86,21.8,55,10,115,29.2,89,22.6,181,45.9,9,2.3,226,57.4,168,42.6,40.7123149,-73.9839547
01M450,EAST SIDE COMMUNITY SCHOOL,70,377,402,370,1149,30,5,158,26.4,91,19,58,9.7,143,23.9,331,55.4,62,10.4,327,54.7,271,45.3,40.7293824,-73.982502
01M458,FORSYTH SATELLITE ACADEMY,7,414,401,359,1174,9,4,20,8.9,3,0,5,2.2,77,34.4,133,59.4,8,3.6,97,43.3,127,56.7,40.7221984,-73.9907155
01M509,MARTA VALLE HIGH SCHOOL,44,390,433,384,1207,41,11.2,95,25.9,28,36,34,9.3,116,31.6,209,56.9,6,1.6,170,46.3,197,53.7,40.7205149,-73.9856828
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,112,332,557,316,1205,453,80.6,7,1.2,0,2,476,84.7,29,5.2,50,8.9,5,0.9,302,53.7,260,46.3,40.720534,-73.985986
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522,574,525,1621,4,0.2,43,2.7,2,0,448,27.8,189,11.7,229,14.2,725,44.9,794,49.2,819,50.8,40.7191667,-73.9797222
01M650,CASCADES HIGH SCHOOL,18,417,418,411,1246,7,3.2,15,6.9,1,0,1,0.5,99,45.4,108,49.5,9,4.1,87,39.9,131,60.1,40.7221767,-73.9906357
01M696,BARD HIGH SCHOOL EARLY COLLEGE,130,624,604,628,1856,1,0.2,5,0.8,0,0,93,15.1,93,15.1,112,18.2,307,49.8,193,31.3,424,68.7,40.7182547,-73.9760185
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16,395,400,387,1182,14,8,56,32.2,34,10,3,1.7,56,32.2,103,59.2,11,6.3,74,42.5,100,57.5,40.7382609,-73.9812096
